模块,位置描述,涉及版本,zh-CN 简体中文（中国大陆）,zh-TW 繁体中文（中国台湾）,en-US 英文（美国）,vi-VN 越南语（越南）,ar-SA 阿拉伯语（沙特阿拉伯）,es-ES 西班牙语（西班牙）,pt-BR 葡萄牙语（巴西）,fr-FR 法语（法国）,ja-JP 日语（日本）,ko-KR 韩语（韩国）,ur-PK 乌尔都语（巴基斯坦）,id-ID 印尼语（印度尼西亚）,hi-IN 印地语（印度）,ru-RU 俄语（俄罗斯）,tr-TR 土耳其语（土耳其）,使用场景/注意事项
【公共按钮/通用状态】,,,,,,,,,,,,,,,,,,
公共按钮/通用状态,全站通用按钮 - 保存,,保存,保存,Save,Lưu,حفظ,Guardar,Salvar,Enregistrer,保存,저장,محفوظ کریں,Simpan,सहेजें,Сохранить,Kaydet,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 保存中,,保存中...,保存中...,Saving...,Đang lưu...,جارٍ الحفظ...,Guardando...,Salvando...,Enregistrement...,保存中...,저장 중...,محفوظ کیا جا رہا ہے...,Menyimpan...,सहेजा जा रहा है...,Сохранение...,Kaydediliyor...,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 关注,V1.6,关注,關注,Follow,Theo dõi,متابعة,Seguir,Seguir,Suivre,フォロー,팔로우,فالو کریں,Ikuti,फॉलो करें,Подписаться,Takip Et,多场景：公共按钮/通用状态 · 全站通用按钮 - 关注；直播/预约/回放 · 直播间/预约直播流程 - 关注｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常；广场/资讯/帖子 · 广场 - 关注
公共按钮/通用状态,全站通用按钮 - 关注中,,关注中,關注中,Following,Đang theo dõi,جارٍ المتابعة,Siguiendo,Seguindo,Abonnements,フォロー中,팔로잉 중,فالو کر رہا ہے,Mengikuti,फॉलो कर रहा है,Подписка...,Takip Ediliyor,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 创建群组,,创建群组,創建群組,Create Group,Tạo nhóm,إنشاء مجموعة,Crear grupo,Criar grupo,Créer un groupe,グループを作成,그룹 만들기,گروپ بنائیں,Buat Grup,समूह बनाएं,Создать группу,Grup oluştur,多场景：公共按钮/通用状态 · 全站通用按钮 - 创建群组；聊天/群聊 · 聊天/群聊页面 - 创建群组｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜聊天/群聊相关文案，需关注长文本在列表、输入框、弹窗中的显示
公共按钮/通用状态,全站通用按钮 - 删除,,删除,刪除,Delete,Xóa,حذف,Eliminar,Excluir,Supprimer,削除,삭제,حذف کریں,Hapus,हटाएं,Удалить,Sil,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 加入,V1.6,加入,加入,Join,Tham gia,انضمام,Unirse,Entrar,Rejoindre,参加,참여,شامل ہوں,Gabung,शामिल हों,Вступить,Kat?l,多场景：公共按钮/通用状态 · 全站通用按钮 - 加入；聊天/群聊 · 发现群组 - 加入｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 取消,,取消,取消,Cancel,Hủy,إلغاء,Cancelar,Cancelar,Annuler,キャンセル,취소,منسوخ کریں,Batal,रद्द करें,Отмена,İptal,多场景：公共按钮/通用状态 · 全站通用按钮 - 取消；登录/注册/账号 · 退出登录确认弹窗 - 取消；搜索 · 搜索页/搜索结果页 - 取消；任务/积分/福利 · 活动奖励页 - 取消；系统提示/弹窗/权限 · 反馈弹窗 - 取消｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜系统弹窗/提示条文案，需检查确认、取消、异常提示和浏览器场景｜搜索结果分类或空状态文案，需与搜索接口分类和无结果状态一致｜活动奖励页分享/操作取消按钮；与全站通用「取消」分行维护
公共按钮/通用状态,全站通用按钮 - 取消关注,,取消关注,取消關注,Unfollow,Bỏ theo dõi,إلغاء المتابعة,Dejar de seguir,Deixar de seguir,Ne plus suivre,フォロー解除,팔로우 해제,انفالو کریں,Berhenti Mengikuti,अनफॉलो करें,Отписаться,Takibi Bırak,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 展开,,展开,展開,Expand,Mở rộng,توسيع,Expandir,Expandir,Développer,展開,펼치기,پھیلائیں,Perluas,फैलाएं,Развернуть,Genişlet,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 已关注,V1.6,已关注,已關注,Followed,Đã theo dõi,تمت المتابعة,Siguiendo,Seguindo,Suivi,フォロー中,팔로우 중,فالو کیا گیا,Diikuti,फ़ॉलो किया गया,Вы подписаны,Takip ediliyor,多场景：公共按钮/通用状态 · 全站通用按钮 - 已关注；聊天/群聊 · 发现群组 - 已关注｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 开播,,开播,開播,Go Live,Phát trực tiếp,اذهب للبث,Transmitir en vivo,Iniciar live,Lancer le live,配信開始,라이브 시작,لائیو جائیں,Mulai Live,लाइव जाएं,Начать эфир,Canlı Yayına Geç,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 提交,,提交,提交,Submit,Gửi,إرسال,Enviar,Enviar,Soumettre,送信,제출,جمع کریں,Kirim,जमा करें,Отправить,Gönder,多场景：公共按钮/通用状态 · 全站通用按钮 - 提交；任务/积分/福利 · 潜在KOL表单 - 提交｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜潜在KOL表单提交按钮；与全站通用「提交」分行维护
公共按钮/通用状态,全站通用按钮 - 收起,,收起,收起,Collapse,Thu gọn,طي,Contraer,Recolher,Réduire,收起,접기,سکڑائیں,Ciutkan,संक्षिप्त करें,Свернуть,Daralt,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 更多,,更多,更多,More,Xem thêm,المزيد,Más,Mais,Plus,もっと見る,더 보기,مزید,Lainnya,अधिक,Ещё,Daha Fazla,多场景：公共按钮/通用状态 · 全站通用按钮 - 更多；广场/资讯/帖子 · 广场/资讯页面 - 更多｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜广场/资讯/帖子互动文案，需与点赞、评论、分享、举报状态同步
公共按钮/通用状态,全站通用按钮 - 查看全部,,查看全部,查看全部,View All,Xem tất cả,عرض الكل,Ver todo,Ver tudo,Voir tout,すべて表示,전체 보기,سب دیکھیں,Lihat Semua,सभी देखें,Показать все,Tümünü Gör,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 登录,,登录,登入,Log In,Đăng nhập,تسجيل الدخول,Iniciar sesión,Entrar,Se connecter,ログイン,로그인,لاگ ان کریں,Masuk,लॉग इन,Войти,Giriş Yap,多场景：公共按钮/通用状态 · 全站通用按钮 - 登录；登录/注册/账号 · 登录弹窗 - 登录｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜页面固定系统文案，需纳入 i18n 统一管理并检查多语言显示宽度
公共按钮/通用状态,全站通用按钮 - 确认,,确认,確認,Confirm,Xác nhận,تأكيد,Confirmar,Confirmar,Confirmer,確認,확인,تائید کریں,Konfirmasi,पुष्टि करें,Подтвердить,Onayla,多场景：公共按钮/通用状态 · 全站通用按钮 - 确认；钱包/充值/提现 · 提现提交页面 - 确认｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 立即关注,,立即关注,立即關注,Follow Now,Theo dõi ngay,تابع الآن,Seguir ahora,Seguir agora,Suivre maintenant,今すぐフォロー,지금 팔로우,ابھی فالو کریں,Ikuti Sekarang,अभी फॉलो करें,Подписаться сейчас,Şimdi Takip Et,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用按钮 - 编辑,,编辑,編輯,Edit,Chỉnh sửa,تعديل,Editar,Editar,Modifier,編集,수정,ترمیم کریں,Ubah,संपादित करें,Редактировать,Düzenle,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
